title,price,rate
The Torch Is Passed: A Harding Family Story,£19.09,1
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",£23.89,4
The Art Forger,£40.76,3
On a Midnight Clear,£14.07,3
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),£53.90,2
"Shobu Samurai, Project Aryoku (#3)",£29.06,3
Modern Romance,£28.26,5
The White Queen (The Cousins' War #1),£25.91,5
The Song of Achilles,£37.40,5
The Immortal Life of Henrietta Lacks,£40.67,2
The Dovekeepers,£48.78,1
More Than Music (Chasing the Dream #1),£37.61,2
Code Name Verity (Code Name Verity #1),£22.13,4
Cell,£20.29,4
Angels Walking (Angels Walking #1),£34.20,2
"A Series of Catastrophes and Miracles: A True Story of Love, Science, and Cancer",£56.48,2
A People's History of the United States,£40.79,2
A Brush of Wings (Angels Walking #3),£55.51,1
Rook,£37.86,4
The Midnight Watch: A Novel of the Titanic and the Californian,£26.20,1
The Gray Rhino: How to Recognize and Act on the Obvious Dangers We Ignore,£59.15,4
The Children,£11.88,3
One with You (Crossfire #5),£15.71,4
Without Shame,£48.27,5
Watchmen,£58.05,4
A Hero's Curse (The Unseen Chronicles #1),£50.49,3
23 Degrees South: A Tropical Tale of Changing Whether...,£35.79,2
The Glass Castle,£16.24,1
The Drowning Girls,£35.67,3
Team of Rivals: The Political Genius of Abraham Lincoln,£20.12,5
John Adams,£57.43,4
Good in Bed (Cannie Shapiro #1),£37.05,5
The Joy of Cooking,£43.27,4
The Golden Compass (His Dark Materials #1),£18.77,1
The God Delusion,£46.85,3
Pride and Prejudice,£19.27,4
Mere Christianity,£48.51,3
Fun Home: A Family Tragicomic,£56.59,4
The Raven King (The Raven Cycle #4),£30.57,2
Find Her (Detective D.D. Warren #8),£22.37,1
Evicted: Poverty and Profit in the American City,£42.27,1
A Game of Thrones (A Song of Ice and Fire #1),£46.42,2
A Clash of Kings (A Song of Ice and Fire #2),£10.79,3
The Tipping Point: How Little Things Can Make a Big Difference,£10.02,2
The Rest Is Noise: Listening to the Twentieth Century,£34.77,1
The Purpose Driven Life: What on Earth Am I Here for?,£37.19,3
The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy #1),£47.80,3
The Girl Who Kicked the Hornet's Nest (Millennium Trilogy #3),£57.48,1
"The End of Faith: Religion, Terror, and the Future of Reason",£22.13,4
The Complete Poems,£41.32,5
The Catcher in the Rye,£24.55,1
The Case for Christ (Cases for Christianity),£47.84,1
The Blind Side: Evolution of a Game,£53.71,5
Seven Days in the Art World,£52.33,2
Sarah's Key,£46.29,1
Rogue Lawyer (Rogue Lawyer #1),£50.11,3
Manuscript Found in Accra,£34.98,2
Fire Bound (Sea Haven/Sisters of the Heart #5),£21.28,4
Cosmos,£36.17,2
#GIRLBOSS,£50.96,1
The Sense of an Ending,£31.38,3
The Republic,£33.78,3
The Odyssey,£29.64,3
The Light of the Fireflies,£54.43,1
The Iliad,£16.16,1
The Communist Manifesto,£14.76,3
Lord of the Flies,£24.89,3
