title,price,rate
Tipping the Velvet,£53.74,1
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,£29.69,3
A Flight of Arrows (The Pathfinders #2),£55.53,5
The House by the Lake,£36.95,1
Mrs. Houdini,£30.25,5
The Marriage of Opposites,£28.08,4
Glory over Everything: Beyond The Kitchen House,£45.84,3
"Love, Lies and Spies",£20.55,2
A Paris Apartment,£39.01,4
Lilac Girls,£17.28,2
The Constant Princess (The Tudor Court #1),£16.62,3
The Invention of Wings,£37.34,1
World Without End (The Pillars of the Earth #2),£32.97,4
The Passion of Dolssa,£28.32,5
Girl With a Pearl Earring,£26.77,1
Voyager (Outlander #3),£21.07,5
The Red Tent,£35.66,5
The Last Painting of Sara de Vos,£55.55,2
The Guernsey Literary and Potato Peel Pie Society,£49.53,1
Girl in the Blue Coat,£46.83,2
Between Shades of Gray,£20.79,5
While You Were Mine,£41.32,5
The Secret Healer,£34.56,3
Starlark,£25.83,3
Lost Among the Living,£27.70,4
A Spy's Devotion (The Regency Spies of London #1),£16.97,5
