title,price,rate
Sophie's World,£15.94,5
The Death of Humanity: and the Case for Life,£58.11,4
The Stranger,£17.44,4
Proofs of God: Classical Arguments from Tertullian to Barth,£54.21,1
Kierkegaard: A Christian Missionary to Christians,£47.13,1
"At The Existentialist Café: Freedom, Being, and apricot cocktails with: Jean-Paul Sartre, Simone de Beauvoir, Albert Camus, Martin Heidegger, Edmund Husserl, Karl Jaspers, Maurice Merleau-Ponty and others",£29.93,5
Critique of Pure Reason,£20.75,1
"Run, Spot, Run: The Ethics of Keeping Pets",£20.02,1
The Nicomachean Ethics,£36.34,1
Meditations,£25.89,2
Beyond Good and Evil,£43.38,1
