title,price,rate
Mesaerion: The Best Science Fiction Stories 1800-1849,£37.59,1
Join,£35.67,5
"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",£43.30,4
The Project,£10.65,1
Soft Apocalypse,£26.12,2
Sleeping Giants (Themis Files #1),£48.74,1
Arena,£21.36,4
Foundation (Foundation (Publication Order) #1),£32.42,1
The Restaurant at the End of the Universe (Hitchhiker's Guide to the Galaxy #2),£10.92,1
Ready Player One,£19.07,4
"Life, the Universe and Everything (Hitchhiker's Guide to the Galaxy #3)",£33.26,2
Dune (Dune #1),£54.86,1
Do Androids Dream of Electric Sheep? (Blade Runner #1),£51.48,1
Three Wishes (River of Time: California #1),£44.18,2
The Last Girl (The Dominion Trilogy #1),£36.26,2
Having the Barbarian's Baby (Ice Planet Barbarians #7.5),£34.96,4
