title,price,rate
Chase Me (Paris Nights #2),£25.27,5
Black Dust,£34.53,5
Her Backup Boyfriend (The Sorensen Family #1),£33.97,1
First and First (Five Boroughs #3),£15.97,4
Fifty Shades Darker (Fifty Shades #2),£21.96,1
The Wedding Dress,£24.12,1
Suddenly in Love (Lake Haven #1),£55.99,2
Something More Than This,£16.24,4
Doing It Over (Most Likely To #1),£35.61,3
The Wedding Pact (The O'Malleys #2),£32.61,3
Hold Your Breath (Search and Rescue #1),£28.82,1
Dirty (Dive Bar #1),£40.83,4
Take Me Home Tonight (Rock Star Romance #3),£53.98,3
Off the Hook (Fishing for Trouble #1),£47.67,3
A Gentleman's Position (Society of Gentlemen #3),£14.75,5
"Sit, Stay, Love",£20.90,3
A Girl's Guide to Moving On (New Beginnings #2),£31.30,1
The Perfect Play (Play by Play #1),£59.99,3
Dark Lover (Black Dagger Brotherhood #1),£12.87,1
Changing the Game (Play by Play #2),£13.38,3
A Walk to Remember,£56.43,1
The Purest Hook (Second Circle Tattoos #3),£12.25,1
The Obsession,£45.43,1
Reservations for Two,£11.10,3
Best of My Love (Fool's Gold #20),£27.41,2
Where Lightning Strikes (Bleeding Stars #3),£39.77,3
This One Moment (Pushing Limits #1),£48.71,1
"Rhythm, Chord & Malykhin",£28.34,2
My Perfect Mistake (Over the Top #1),£38.92,2
Listen to Me (Fusion #1),£58.99,3
Imperfect Harmony,£34.74,4
Fighting Fate (Fighting #6),£39.24,3
Deep Under (Walker Security #1),£47.09,5
Charity's Cross (Charles Towne Belles #4),£41.24,1
Bounty (Colorado Mountain #7),£37.26,4
