title,price,rate
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",£17.93,3
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,£22.60,4
"Starving Hearts (Triangular Trade Trilogy, #1)",£13.99,2
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,£22.50,3
Aladdin and His Wonderful Lamp,£53.13,3
Penny Maybe,£33.29,3
Maude (1883-1993):She Grew Up with the country,£18.02,2
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",£20.59,5
Soul Reader,£39.58,2
Bossypants,£49.46,2
A World of Flavor: Your Gluten Free Passport,£42.95,1
"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",£56.76,5
Tracing Numbers on a Train,£41.60,3
Thirteen Reasons Why,£52.72,1
The Secret (The Secret #1),£27.37,4
The Psychopath Test: A Journey Through the Madness Industry,£36.00,2
The Kite Runner,£41.82,4
The Girl on the Train,£55.02,2
The Emerald Mystery,£23.15,2
The Bridge to Consciousness: I'm Writing the Bridge Between Science and Our Old and New Beliefs.,£32.00,3
The Art of War,£33.34,5
Secrets and Lace (Fatal Hearts #1),£20.27,1
Romero and Juliet: A Tragic Tale of Love and Zombies,£36.94,1
Poses for Artists Volume 1 - Dynamic and Sitting Poses: An Essential Reference for Figure Drawing and the Human Form,£41.06,1
Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children #1),£10.76,1
Large Print Heart of the Pride,£19.15,2
Grumbles,£22.16,2
First Steps for New Christians (Print Edition),£29.00,1
Eureka Trivia 6.0,£54.59,4
Drive: The Surprising Truth About What Motivates Us,£34.95,4
Done Rubbed Out (Reightman & Bailey #1),£37.72,5
Beauty Restored (Riley Family Legacy Novellas #3),£11.11,2
Ayumi's Violin,£15.48,2
Anonymous,£46.82,4
Amy Meets the Saints and Sages,£18.46,3
Amatus,£50.54,5
V for Vendetta (V for Vendetta Complete),£37.10,4
